Simbol;Denumire emisiune;ISIN;Emitent;Cod Fiscal / CUI;Nr. obligatiuni emise;Valoare nominala;Valoare emisiune;Data emisiune;Data listarii;Data maturitate;Numar cupoane;Convertibila;Benchmark;Tip;Sectiune bursa;Piata Principala;Categoria;Stare;Model tranzactionare;Lista pasi de pret
AAB26;AGROLAND AGRIBUSINESS - 2026;RO4LCTQ5YQM4;AGROLAND AGRIBUSINESS;37478862;100000;100;10000000;02.08.2021;09.09.2021;02.08.2026;10;N/A;N/A;Obligatiuni corporative;ATS;XRB;Bonds-SMT;Tranzactionabila;Tranzactionare continua;
AFH25;AFORTI HOLDING S.A. - Obligatiuni 2025;ROT9K8D341J2;AFORTI HOLDING S.A.;525-245-37-55;20000;100;2000000;04.09.2020;12.10.2021;04.09.2025;10;N/A;N/A;Obligatiuni corporative;ATS;XRB;Bonds-SMT;Tranzactionabila;Tranzactionare continua;
AGR28;Agroland Business System Bonds 2028;ROQUDEYGJVB6;AGROLAND BUSINESS SYSTEM S.A.;25165241;69206;100;6920600;02.10.2024;19.03.2025;02.10.2028;8;N/A;N/A;Obligatiuni corporative;ATS;XRB;Bonds-SMT;Tranzactionabila;Tranzactionare continua;
AGV26E;AGRICOVER HOLDING- Bonds 2026;RO1ZD96WS646;AGRICOVER HOLDING S.A.;36036986;800;50000;40000000;03.02.2021;31.03.2021;03.02.2026;6;N/A;N/A;Obligatiuni corporative;BSE;EORDB;Corporative;Tranzactionabila;Tranzactionare continua;
ALB26;CONSILIUL JUDETEAN ALBA;ROALBUDBL065;CONSILIUL JUDETEAN ALBA;4562583;500000;100;50000000;07.03.2009;06.05.2009;15.11.2026;71;Nu;N/A;Obligatiuni municipale;BSE;ORDB;Municipale;Tranzactionabila;Tranzactionare continua;
ALB27;PRIMARIA MUNICIPIULUI  ALBA IULIA;ROALBUDBL073;PRIMARIA MUNICIPIULUI  ALBA IULIA;4562923;320000;100;32000000;21.12.2009;02.04.2010;15.11.2027;72;N/A;N/A;Obligatiuni municipale;BSE;ORDB;Municipale;Tranzactionabila;Tranzactionare continua;
ANS26E;Ansett Logistics Obligatiuni Euro 2026;RO065JA6HSQ9;ANSETT LOGISTICS;17365796;5000;100;500000;29.04.2021;15.09.2021;29.04.2026;20;N/A;N/A;Obligatiuni corporative;ATS;EXRB;Bonds-SMT;Tranzactionabila;Tranzactionare continua;
ASC27;OB. ASCENDIA - 2027;RO19BOY5XHP0;ASCENDIA SA;21482859;44895;100;4489500;02.09.2022;06.12.2022;02.09.2027;10;N/A;N/A;Obligatiuni corporative;ATS;XRB;Bonds-SMT;Tranzactionabila;Tranzactionare continua;
ATPR28;ARTPRINT - 2028;RONIGTCPXDS9;Artprint SA;401053;24002;100;2400200;06.06.2024;31.10.2024;06.06.2028;8;N/A;N/A;Obligatiuni corporative;ATS;XRB;Bonds-SMT;Tranzactionabila;Tranzactionare continua;
AUT26E;Obligatiuni Autonom Services 2026;ROF1QD89E0Z9;Autonom Services S.A.;18433260;4803;10000;48030000;23.11.2021;08.12.2021;23.11.2026;5;N/A;N/A;Obligatiuni corporative;BSE;EORDB;Corporative;Tranzactionabila;Tranzactionare continua;
